Time,LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVING-UNIT::Des Latent Heat Load [W],LIVING-UNIT::Des Latent Cool Load [W],LIVING-UNIT::Des Latent Heat Mass Flow [kg/s],LIVING-UNIT::Des Latent Cool Mass Flow [kg/s],LIVING-UNIT::Des Heat Load No DOAS [W],LIVING-UNIT::Des Sens Cool Load No DOAS [W],LIVING-UNIT::Des Latent Heat Load No DOAS [W],LIVING-UNIT::Des Latent Cool Load No DOAS [W],LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LIVING-UNIT:DEBRECEN ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVING-UNIT:DEBRECEN ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
10:00:00,5.492952E+03,0.000000E+00,3.542104E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.268546E+01,2.465555E+01
10:30:00,5.493208E+03,0.000000E+00,3.542270E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.291738E+01,2.436951E+01
11:00:00,5.493460E+03,0.000000E+00,3.542432E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.312468E+01,2.411779E+01
11:30:00,5.493709E+03,0.000000E+00,3.542593E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.326156E+01,2.395166E+01
12:00:00,5.493955E+03,0.000000E+00,3.542751E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.345132E+01,2.372521E+01
12:30:00,5.494196E+03,0.000000E+00,3.542907E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.361990E+01,2.352288E+01
13:00:00,5.494435E+03,0.000000E+00,3.543061E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.386242E+01,2.323620E+01
13:30:00,5.494670E+03,0.000000E+00,3.543212E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.403898E+01,2.302837E+01
14:00:00,5.494901E+03,0.000000E+00,3.543361E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.428639E+01,2.274117E+01
14:30:00,5.495129E+03,0.000000E+00,3.543508E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.000000E+01,7.891223E+00,4.442845E+01,2.257789E+01
